,Place,CarNum,Team,Time,Laps,Cones,OffCourse,PeOntal t e ryh,ATidjumseted,TimeScore,LapsScore,EnSdcuorraence
1,1,3,The Ohio State University,1389.891,10,3,,,1395.891,250.0,25,275
2,2,30,Univ of Calif - Berkeley,1396.241,10,1,1,,1418.241,237.3,25,262.3
3,3,9,Univ of North Carolina - Charlotte,1408.963,10,,1,,1428.963,231.4,25,256.4
4,4,35,Texas A & M Univ - College Station,1456.973,10,,,,1456.973,216.2,25,241.2
5,5,65,Hope College,1474.810,10,2,,,1478.810,204.8,25,229.8
6,6,127,Univ of Connecticut,1364.914,10,,,120,1484.914,201.7,25,226.7
7,7,6,California Polytechnic State Univ-SLO,1388.976,10,1,,120,1510.976,188.6,25,213.6
8,8,16,Villanova Univ,1509.413,10,4,,,1517.413,185.5,25,210.5
9,9,55,Univ of Missouri,1515.326,10,8,1,,1551.326,169.3,25,194.3
10,10,8,Purdue Univ - W Lafayette,1569.480,10,,,,1569.480,160.9,25,185.9
11,11,23,Kansas State Univ,1499.765,10,8,3,,1575.765,158.0,25,183.0
12,12,57,Oakland University,1568.508,10,1,1,,1590.508,151.4,25,176.4
13,13,145,Instituto Maua de Tecnologia,1580.488,10,,1,,1600.488,147.0,25,172.0
14,14,76,Univ of Alabama - Tuscaloosa,1459.573,10,8,1,120,1615.573,140.5,25,165.5
15,15,109,Temple Univ,1601.732,10,7,,,1615.732,140.4,25,165.4
16,16,18,Kennesaw State University,1545.116,10,18,2,,1621.116,138.1,25,163.1
17,17,45,California State Univ - Northridge,1562.820,10,1,3,,1624.820,136.5,25,161.5
18,18,14,Univ of Cincinnati,1485.276,10,7,2,120,1659.276,122.1,25,147.1
19,19,68,AGH Univ of Science and Technology,1482.497,10,2,3,120,1666.497,119.2,25,144.2
20,20,34,Colorado Mesa University,1637.232,10,2,2,,1681.232,113.3,25,138.3
21,21,26,Univ of Wisconsin - Platteville,1662.723,10,1,1,,1684.723,111.9,25,136.9
22,22,40,Universite de Sherbrooke,1647.104,10,3,2,,1693.104,108.6,25,133.6
1,23,101,Minnesota State University - Mankato,1654.603,10,2,2,,1698.603,106.4,25,131.4
2,24,83,Univ of South Florida,1535.388,10,2,2,120,1699.388,106.1,25,131.1
3,25,77,Vanderbilt Univ,1700.772,10,4,,,1708.772,102.5,25,127.5
4,26,91,Mississippi State Univ,1674.943,10,7,1,,1708.943,102.4,25,127.4
5,27,67,Univ of Minnesota - Twin Cities,1504.060,10,9,5,120,1742.060,89.9,25,114.9
6,28,44,Univ of Texas - Dallas,1686.742,10,2,3,,1750.742,86.7,25,111.7
7,29,95,Univ of Toledo,1722.337,10,6,1,,1754.337,85.4,25,110.4
8,30,22,Sacramento State Univ,1659.227,10,11,4,,1761.227,82.9,25,107.9
9,31,119,California Baptist University,1741.989,10,,1,,1761.989,82.6,25,107.6
10,32,24,Brown Univ,1694.256,10,5,5,,1804.256,67.7,25,92.7
11,33,98,Univ of Nebraska - Lincoln,1663.055,10,6,2,120,1835.055,57.2,25,82.2
12,34,60,Univ of Illinois - Chicago,1792.782,10,2,2,,1836.782,56.6,25,81.6
13,35,126,Arizona State Univ - Tempe,1676.754,10,,3,120,1856.754,50.1,25,75.1
14,36,108,Lawrence Technological Univ,1770.844,10,8,5,,1886.844,40.4,25,65.4
15,37,32,Colorado School of Mines,1722.569,10,14,7,,1890.569,39.2,25,64.2
16,38,106,Embry-Riddle Aero Univ - Daytona Beach,1641.135,10,11,8,120,1943.135,23.1,25,48.1
17,39,21,Oklahoma State Univ,1919.354,10,10,2,,1979.354,12.5,25,37.5
18,40,113,US Air Force Academy,1850.950,10,6,6,,1982.950,11.5,25,36.5
19,41,47,Univ of Kentucky,1960.521,10,7,3,,2034.521,-,25,25.0
20,42,58,Syracuse Univ,2024.210,10,1,2,,2066.210,-,25,25.0
21,43,131,Univ of Ottawa,1727.287,10,18,17,,2103.287,-,25,25.0
22,44,114,Lehigh Univ,1902.416,10,9,10,,2120.416,-,25,25.0
1,45,104,Washington Univ - St Louis,1913.321,10,20,10,,2153.321,-,25,25.0
2,46,73,Univ of Puerto Rico-Mayaquez,1872.486,10,9,8,120,2170.486,-,25,25.0
3,47,46,York College of Pennsylvania,1995.336,10,14,9,,2203.336,-,25,25.0
4,48,125,Northern Arizona Univ,2092.469,10,6,8,,2264.469,-,25,25.0
5,49,72,Univ of Delaware,1978.650,10,21,10,150,2370.650,-,25,25.0
6,,99,Univ of North Florida,1444.939,9,20,3,,DNF,-,20,20.0
7,,17,Florida Atlantic Univ,1720.931,9,9,5,,DNF,-,20,20.0
8,,135,Univ of Wisconsin - Madison,1176.547,7,7,4,120,DNF,-,16,16.0
9,,20,Univ of Victoria,1216.898,7,2,1,120,DNF,-,16,16.0
10,,105,Univ of Southern California,1342.426,7,3,,,DNF,-,16,16.0
11,,42,Univ of Oklahoma,952.930,6,,5,,DNF,-,14,14.0
12,,27,Carleton Univ,1067.137,6,3,,,DNF,-,14,14.0
13,,107,Virginia Tech,1073.004,6,2,,120,DNF,-,14,14.0
14,,38,North Carolina State Univ - Raleigh,737.814,5,3,10,,DNF,-,12,12.0
15,,25,California State Poly Univ - Pomona,748.931,5,2,1,,DNF,-,12,12.0
16,,29,Univ of Texas - Austin,837.734,5,9,1,,DNF,-,12,12.0
17,,94,Univ of Colorado - Boulder,899.433,5,2,5,,DNF,-,12,12.0
18,,93,South Dakota State Univ,935.217,5,9,2,,DNF,-,12,12.0
19,,78,Univ of the Pacific,955.282,5,3,5,,DNF,-,12,12.0
20,,71,Univ of Hartford,957.000,5,5,4,,DNF,-,12,12.0
21,,121,Univ of Saskatchewan,677.894,4,2,3,,DNF,-,8,8.0
22,,102,Missouri University of Science and Tech,485.558,3,1,,,DNF,-,6,6.0
1,,89,Southern Illinois Univ - Carbondale,567.652,3,3,5,,DNF,-,6,6.0
2,,120,Oregon Inst of Tech,873.347,3,,,,DNF,-,6,6.0
3,,100,Kettering Univ,339.945,2,3,1,,DNF,-,4,4.0
4,,116,Saginaw Valley State Univ,444.301,2,3,2,,DNF,-,4,4.0
5,,36,Colorado State University,486.795,2,7,2,,DNF,-,4,4.0
6,,92,Clarkson University,186.006,1,2,,,DNF,-,2,2.0
7,,87,Univ of Georgia,190.242,1,,,,DNF,-,2,2.0
8,,80,California State Univ - Fullerton,201.632,1,1,,,DNF,-,2,2.0
9,,33,Rose Hulman Inst of Tech,0.000,0,1,,,DNF,-,0,0.0
10,,63,Duke Univ,0.000,0,,,,DNF,-,0,0.0
11,,84,Univ of British Columbia,0.000,0,,1,,DNF,-,0,0.0
12,,86,Univ of Akron,0.000,0,,,,DNF,-,0,0.0
